ludwik_zdort	HackneyAbbott
ludwik_zdort	RachelReevesMP
covjones	AngelaRayner
covjones	JolyonMaugham
Richard98084999	JolyonMaugham
Richard98084999	Otto_English
AnixLeslie	SIfill_
AnixLeslie	ElieNYC
Sorry0kEric	SenWhitehouse
Sorry0kEric	ElieNYC
Terri02350303	ABC
Terri02350303	nytimes
katbaker230	CarolineLucas
katbaker230	JolyonMaugham
otha_bright	SIfill_
otha_bright	ElieNYC
Dabzyum	ABC
Dabzyum	AP
Teekay0077	HackneyAbbott
Teekay0077	Otto_English
SP0RTSFANDAN	CarolineLucas
SP0RTSFANDAN	RachelReevesMP
MonaWagdi3	ABC
MonaWagdi3	CNNPolitics
petricevicj	ACTBrigitte
petricevicj	RepMTG
5000tball	AP
5000tball	ElieNYC
pbleighton001	AngelaRayner
pbleighton001	JolyonMaugham
nrisercz	nytimes
nrisercz	AP
MONZELLMOORE51	ABC
MONZELLMOORE51	CNNPolitics
BobbyMa56063908	BillKristol
BobbyMa56063908	SIfill_
BobbyMa56063908	ElieNYC
AnastasioCruzZ1	ACTBrigitte
AnastasioCruzZ1	RepMTG
whosaidthatthen	CarolineLucas
whosaidthatthen	Otto_English
Jessica31284850	BillKristol
Jessica31284850	SenWhitehouse
frankhanks1319	ABC
frankhanks1319	AP
frankhanks1319	CNNPolitics
whitexmas53	SIfill_
whitexmas53	ElieNYC
Ryeinstein	CarolineLucas
Ryeinstein	HackneyAbbott
Ryeinstein	RachelReevesMP
tykev	SIfill_
tykev	ElieNYC
DSwizzleDude	SenWhitehouse
DSwizzleDude	ElieNYC
AmZainUllah	nytimes
AmZainUllah	AP
antsidford	CarolineLucas
antsidford	JolyonMaugham
JamesKuol9	nytimes
JamesKuol9	CNNPolitics
